Resumed from models/iter_050.pt
Iter 163/250 | Loss: 1.3493 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 324s
Iter 164/250 | Loss: 1.3308 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 306s
Iter 165/250 | Loss: 1.3386 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 314s
Iter 166/250 | Loss: 1.3388 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 292s
Iter 167/250 | Loss: 1.3541 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 283s
Iter 168/250 | Loss: 1.3132 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 273s
Iter 169/250 | Loss: 1.3347 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 275s
Iter 170/250 | Loss: 1.3328 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 270s
Iter 171/250 | Loss: 1.3366 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 275s
Iter 172/250 | Loss: 1.3345 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 285s
Iter 173/250 | Loss: 1.3391 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 366s
Iter 174/250 | Loss: 1.3253 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 392s
Iter 175/250 | Loss: 1.3422 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 340s
Iter 176/250 | Loss: 1.3218 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 338s
Iter 177/250 | Loss: 1.3341 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 353s
Iter 178/250 | Loss: 1.3270 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 290s
Iter 179/250 | Loss: 1.3406 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 287s
Iter 180/250 | Loss: 1.3222 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 278s
Iter 181/250 | Loss: 1.3201 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 269s
Iter 182/250 | Loss: 1.3581 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 267s
Iter 183/250 | Loss: 1.3251 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 270s
Iter 184/250 | Loss: 1.3274 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 268s
Iter 185/250 | Loss: 1.3409 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 272s
Iter 186/250 | Loss: 1.3199 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 265s
Iter 187/250 | Loss: 1.3469 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 270s
Iter 188/250 | Loss: 1.3843 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 263s
Iter 189/250 | Loss: 1.3172 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 270s
Iter 190/250 | Loss: 1.3276 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 269s
Iter 191/250 | Loss: 1.3217 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 192/250 | Loss: 1.3490 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 261s
Iter 193/250 | Loss: 1.3283 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 194/250 | Loss: 1.3338 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 261s
Iter 195/250 | Loss: 1.3026 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 196/250 | Loss: 1.3169 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 255s
Iter 197/250 | Loss: 1.3347 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 261s
Iter 198/250 | Loss: 1.3417 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 271s
Iter 199/250 | Loss: 1.3420 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 200/250 | Loss: 1.3072 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 262s
  -> Saved checkpoint: models/iter_200.pt
Iter 201/250 | Loss: 1.3684 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 202/250 | Loss: 1.3076 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 262s
Iter 203/250 | Loss: 1.3118 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 204/250 | Loss: 1.3195 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 205/250 | Loss: 1.2931 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 265s
Iter 206/250 | Loss: 1.3093 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 207/250 | Loss: 1.3245 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 261s
Iter 208/250 | Loss: 1.2927 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 257s
Iter 209/250 | Loss: 1.3264 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 210/250 | Loss: 1.3062 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 211/250 | Loss: 1.3114 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 268s
Iter 212/250 | Loss: 1.3214 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 213/250 | Loss: 1.2586 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 266s
Iter 214/250 | Loss: 1.3148 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 260s
Iter 215/250 | Loss: 1.2713 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 270s
Iter 216/250 | Loss: 1.2992 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 263s
Iter 217/250 | Loss: 1.2886 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 265s
Iter 218/250 | Loss: 1.3002 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 266s
Iter 219/250 | Loss: 1.2889 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 263s
Iter 220/250 | Loss: 1.2950 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 221/250 | Loss: 1.2780 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 264s
Iter 222/250 | Loss: 1.2848 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 261s
Iter 223/250 | Loss: 1.2452 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 262s
Iter 224/250 | Loss: 1.2546 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 32 | Time: 266s
